id,name,stateId
52,Ashkāsham,3901
68,Fayzabad,3901
78,Jurm,3901
84,Khandūd,3901
115,Rāghistān,3901
131,Wākhān,3901
72,Ghormach,3871
108,Qala i Naw,3871
54,Baghlān,3875
140,Ḩukūmatī Dahanah-ye Ghōrī,3875
101,Nahrīn,3875
105,Pul-e Khumrī,3875
55,Balkh,3884
65,Dowlatābād,3884
85,Khulm,3884
91,Lab-Sar,3884
97,Mazār-e Sharīf,3884
112,Qarchī Gak,3884
57,Bāmyān,3872
104,Panjāb,3872
102,Nīlī,3892
66,Farah,3899
50,Andkhoy,3889
96,Maymana,3889
71,Ghazni,3870
67,Fayrōz Kōh,3888
121,Shahrak,3888
141,‘Alāqahdārī Dīshū,3873
70,Gereshk,3873
93,Lashkar Gāh,3873
95,Markaz-e Ḩukūmat-e Darwēshān,3873
118,Sangīn,3873
60,Chahār Burj,3887
73,Ghōriyān,3887
74,Herāt,3887
80,Kafir Qala,3887
82,Karukh,3887
88,Kuhsān,3887
90,Kushk,3887
111,Qarah Bāgh,3887
123,Shīnḏanḏ,3887
129,Tīr Pul,3887
135,Zindah Jān,3887
136,Āqchah,3886
63,Darzāb,3886
113,Qarqīn,3886
122,Shibirghān,3886
79,Kabul,3902
99,Mīr Bachah Kōṯ,3902
103,Paghmān,3902
81,Kandahār,3890
124,Sidqābād,3879
87,Khōst,3878
51,Asadabad,3876
138,Āsmār,3876
64,Dasht-e Archī,3900
75,Imām Şāḩib,3900
83,Khanabad,3900
89,Kunduz,3900
114,Qarāwul,3900
98,Mehtar Lām,3891
56,Baraki Barak,3897
139,Ḩukūmatī Azrah,3897
106,Pul-e ‘Alam,3897
58,Bāsawul,3882
77,Jalālābād,3882
94,Markaz-e Woluswalī-ye Āchīn,3882
86,Khāsh,3896
100,Mīrābād,3896
116,Rūdbār,3896
132,Zaranj,3896
107,Pārūn,3880
69,Gardez,3894
120,Saṟōbī,3877
134,Zaṟah Sharan,3877
133,Zarghūn Shahr,3877
59,Bāzārak,3881
61,Charikar,3895
76,Jabal os Saraj,3895
53,Aībak,3883
62,Chīras,3885
92,Larkird,3885
110,Qal‘ah-ye Shahr,3885
117,Sang-e Chārak,3885
119,Sar-e Pul,3885
